"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명"
"3230000","PHMA220243230034021200004","2024-09-30","          ","01","영업/정상","13","영업중","          ","          ","          ","02-418-2275","587.22","          ","서울특별시 송파구 삼전동 28-6","서울특별시 송파구 백제고분로 196, 4층~5층 (삼전동)","05581","서울오브치과병원","2024-09-30 12:47:08","I","2026-03-10 22:00:47","치과병원","207738.048148915    ","444641.091314274    ","치과병원","2","0","0","587.220000000","412 411 410 409 408 407 406 405 404 403 402","구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과"
"3230000","PHMA220243230034021200003","2024-09-02","          ","01","영업/정상","13","영업중","          ","          ","          ","1555-1627","2324.98","          ","","서울특별시 송파구 송이로 81, 지하2층~지상7층층 (가락동)","05706","더힐병원","2026-01-21 09:58:14","I","2026-03-10 22:00:46","병원","210574.037898234    ","444069.184552292    ","병원","23","26","62","2324.980000000","101 113 114 116 117 119 120 122","내과, 이비인후과, 피부과, 영상의학과, 방사선종양학과, 진단검사의학과, 재활의학과, 가정의학과"
"3230000","PHMA220143230034021200004","2014-04-28","          ","01","영업/정상","13","영업중","          ","          ","          ","02-423-8288","2984.61","          ","서울특별시 송파구 송파동 20번지 7호 유니온테크송파빌딩","서울특별시 송파구 백제고분로 405, 유니온테크송파빌딩 (송파동)","05621","빠른병원","2025-10-29 17:05:03","I","2026-03-10 22:01:10","병원","209627.926977957    ","445033.492693013    ","병원","17","22","119","2984.610000000","101 105 108 116 125","내과, 정형외과, 성형외과, 영상의학과, 응급의학과"
"3230000","PHMA220243230034021200002","2024-07-02","          ","01","영업/정상","13","영업중","          ","          ","          ","02-573-9573","2077.77","          ","서울특별시 송파구 삼전동 180-8 태영빌딩","서울특별시 송파구 삼학사로 53, 태영빌딩 1~7층 (삼전동)","05585","엠에스병원","2026-01-21 09:50:37","I","2026-03-10 22:00:43","병원","208477.775692904    ","444434.523206585    ","병원","34","30","72","2077.770000000","122 109","마취통증의학과, 가정의학과"
"3230000","PHMA220243230034021200001","2024-05-31","          ","03","폐업","03","폐업","2024-07-24","          ","          ","1551-1410","2943.47","          ","서울특별시 송파구 석촌동 14-10 어깨동무빌딩","서울특별시 송파구 백제고분로 283, 어깨동무빌딩 B1일부,1층일부,2~7층 (석촌동)","05613","스테이온요양병원","2024-07-25 13:15:32","I","2026-03-10 22:00:40","요양병원(일반요양병원)","208596.024749829    ","444510.670896851    ","요양병원(일반요양병원)","7","35","99","2943.470000000","308 301 122 102 101","내과, 신경과, 가정의학과, 한방내과, 침구과"
"3230000","PHMA220223230034021200002","2022-05-26","          ","01","영업/정상","13","영업중","          ","          ","          ","02-424-2340","2219.83","          ","","서울특별시 송파구 삼전로 42, 지하1~6층 (삼전동)","05593","강남푸른숲한방병원","2026-01-21 10:12:04","I","2026-03-10 22:01:35","한방병원","207625.449032462    ","444492.597835876    ","한방병원","9","38","69","2219.830000000","101 301 302 308","내과, 한방내과, 한방부인과, 침구과"
"3230000","PHMA220223230034021200001","2022-04-29","          ","01","영업/정상","13","영업중","          ","          ","          ","1899-5989","3411.94","          ","","서울특별시 송파구 위례성대로22길 27, 데코빌딩 지하3층~4층층 (오금동)","05655","오쿨리한방병원","2026-03-12 15:00:42","I","2026-03-13 22:00:01","한방병원","211457.817185708    ","445070.332711295    ","한방병원","33","35","67","3411.940000000","110 122 301 302 307","산부인과, 가정의학과, 한방내과, 한방부인과, 사상체질과"
"3230000","PHMA220213230034021200004","2021-08-26","          ","01","영업/정상","13","영업중","          ","          ","          ","02-512-0750","1049.22","          ","","서울특별시 송파구 위례서로 248, 3층 일부, 4층 (거여동)","05790","365다시재한방병원","2026-01-30 11:09:17","I","2026-03-10 22:02:06","한방병원","212511.655622483    ","442722.371081852    ","한방병원","19","18","48","1049.220000000","122 301 302 303 304 305 306 307 308","가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안?이비인후?피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
"3230000","PHMA220213230034021200001","2021-02-25","          ","01","영업/정상","13","영업중","          ","          ","          ","02-1670-9111","6253.54","          ","서울특별시 송파구 거여동 604","서울특별시 송파구 위례서로 248, 지하1층, 2층, 5~12층 (거여동)","05790","서울세계로병원","2026-01-21 10:05:01","I","2026-03-10 22:02:02","병원","212511.655622483    ","442722.371081852    ","병원","42","47","152","6253.540000000","122 120 116 111 109 106 105 104 102 101","내과, 신경과, 외과, 정형외과, 신경외과, 마취통증의학과, 소아청소년과, 영상의학과, 재활의학과, 가정의학과"
"3230000","PHMA220213230034021200002","2021-04-30","          ","01","영업/정상","13","영업중","          ","          ","          ","02-412-7272","2636.3","          ","서울특별시 송파구 방이동 160","서울특별시 송파구 가락로 278, 지하1층~지상6층 (방이동)","05635","다나움요양병원","2026-01-30 11:05:24","I","2026-03-10 22:02:03","요양병원(일반요양병원)","210527.998227252    ","445587.289579829    ","요양병원(일반요양병원)","22","28","58","2636.300000000","412 408 407 406 403 402 120 104 101","내과, 외과, 재활의학과, 구강악안면외과, 치과보철과, 치주과, 치과보존과, 구강내과, 통합치의학과"
